,Move,Type,Power,Accuracy,PP,Pokemon
592,Mega Punch,Normal,80,85,20,Raichu
593,Mega Kick,Normal,120,75,5,Raichu
594,Toxic,Poison,0,85,10,Raichu
595,Body Slam,Normal,85,100,15,Raichu
596,Take Down,Normal,90,85,20,Raichu
597,Double-Edge,Normal,100,100,15,Raichu
598,Hyper Beam,Normal,150,90,5,Raichu
599,Pay Day,Normal,40,100,20,Raichu
600,Submission,Fighting,80,80,25,Raichu
601,Seismic Toss,Fighting,0,100,20,Raichu
602,Rage,Normal,20,100,20,Raichu
603,Thunderbolt,Electric,95,100,15,Raichu
604,Thunder,Electric,120,70,10,Raichu
605,Mimic,Normal,0,100,10,Raichu
606,Double Team,Normal,0,0,15,Raichu
607,Reflect,Psychic,0,0,20,Raichu
608,Bide,Normal,0,0,10,Raichu
609,Swift,Normal,60,0,20,Raichu
610,Skull Bash,Normal,100,100,15,Raichu
611,Rest,Psychic,0,0,10,Raichu
612,Thunder Wave,Electric,0,100,20,Raichu
613,Substitute,Normal,0,0,10,Raichu
614,Flash,Normal,0,70,20,Raichu
615,Scratch,Normal,40,100,35,Sandshrew
616,Sand-Attack,Normal,0,100,15,Sandshrew
617,Slash,Normal,70,100,20,Sandshrew
618,Poison Sting,Poison,15,100,35,Sandshrew
619,Swift,Normal,60,0,20,Sandshrew
620,Fury Swipes,Normal,18,80,15,Sandshrew
621,Swords Dance,Normal,0,0,30,Sandshrew
622,Toxic,Poison,0,85,10,Sandshrew
623,Body Slam,Normal,85,100,15,Sandshrew
624,Take Down,Normal,90,85,20,Sandshrew
625,Double-Edge,Normal,100,100,15,Sandshrew
626,Submission,Fighting,80,80,25,Sandshrew
627,Seismic Toss,Fighting,0,100,20,Sandshrew
628,Rage,Normal,20,100,20,Sandshrew
629,Earthquake,Ground,100,100,10,Sandshrew
630,Fissure,Ground,0,30,5,Sandshrew
631,Dig,Ground,100,100,10,Sandshrew
632,Mimic,Normal,0,100,10,Sandshrew
633,Double Team,Normal,0,0,15,Sandshrew
634,Bide,Normal,0,0,10,Sandshrew
635,Swift,Normal,60,0,20,Sandshrew
636,Skull Bash,Normal,100,100,15,Sandshrew
637,Rest,Psychic,0,0,10,Sandshrew
638,Rock Slide,Rock,75,90,10,Sandshrew
639,Substitute,Normal,0,0,10,Sandshrew
640,Cut,Normal,50,95,30,Sandshrew
641,Strength,Normal,80,100,15,Sandshrew
642,Scratch,Normal,40,100,35,Sandslash
643,Sand-Attack,Normal,0,100,15,Sandslash
644,Sand-Attack,Normal,0,100,15,Sandslash
645,Slash,Normal,70,100,20,Sandslash
646,Poison Sting,Poison,15,100,35,Sandslash
647,Swift,Normal,60,0,20,Sandslash
648,Fury Swipes,Normal,18,80,15,Sandslash
649,Swords Dance,Normal,0,0,30,Sandslash
650,Toxic,Poison,0,85,10,Sandslash
651,Body Slam,Normal,85,100,15,Sandslash
652,Take Down,Normal,90,85,20,Sandslash
653,Double-Edge,Normal,100,100,15,Sandslash
654,Hyper Beam,Normal,150,90,5,Sandslash
655,Submission,Fighting,80,80,25,Sandslash
656,Seismic Toss,Fighting,0,100,20,Sandslash
657,Rage,Normal,20,100,20,Sandslash
658,Earthquake,Ground,100,100,10,Sandslash
659,Fissure,Ground,0,30,5,Sandslash
660,Dig,Ground,100,100,10,Sandslash
661,Mimic,Normal,0,100,10,Sandslash
662,Double Team,Normal,0,0,15,Sandslash
663,Bide,Normal,0,0,10,Sandslash
664,Swift,Normal,60,0,20,Sandslash
665,Skull Bash,Normal,100,100,15,Sandslash
666,Rest,Psychic,0,0,10,Sandslash
667,Rock Slide,Rock,75,90,10,Sandslash
668,Substitute,Normal,0,0,10,Sandslash
669,Cut,Normal,50,95,30,Sandslash
670,Strength,Normal,80,100,15,Sandslash
671,Growl,Normal,0,100,40,Nidoran♀
672,Tackle,Normal,35,95,35,Nidoran♀
673,Scratch,Normal,40,100,35,Nidoran♀
674,Double Kick,Fighting,30,100,30,Nidoran♀
675,Poison Sting,Poison,15,100,35,Nidoran♀
676,Tail Whip,Normal,0,100,30,Nidoran♀
677,Bite,Normal,60,100,25,Nidoran♀
678,Fury Swipes,Normal,18,80,15,Nidoran♀
679,Toxic,Poison,0,85,10,Nidoran♀
680,Body Slam,Normal,85,100,15,Nidoran♀
681,Take Down,Normal,90,85,20,Nidoran♀
682,Double-Edge,Normal,100,100,15,Nidoran♀
683,Blizzard,Ice,120,90,5,Nidoran♀
684,Rage,Normal,20,100,20,Nidoran♀
685,Thunderbolt,Electric,95,100,15,Nidoran♀
686,Thunder,Electric,120,70,10,Nidoran♀
687,Mimic,Normal,0,100,10,Nidoran♀
688,Double Team,Normal,0,0,15,Nidoran♀
689,Reflect,Psychic,0,0,20,Nidoran♀
690,Bide,Normal,0,0,10,Nidoran♀
691,Skull Bash,Normal,100,100,15,Nidoran♀
692,Rest,Psychic,0,0,10,Nidoran♀
693,Substitute,Normal,0,0,10,Nidoran♀
694,Growl,Normal,0,100,40,Nidorina
695,Tackle,Normal,35,95,35,Nidorina
696,Scratch,Normal,40,100,35,Nidorina
697,Scratch,Normal,40,100,35,Nidorina
698,Double Kick,Fighting,30,100,30,Nidorina
699,Poison Sting,Poison,15,100,35,Nidorina
700,Tail Whip,Normal,0,100,30,Nidorina
701,Bite,Normal,60,100,25,Nidorina
702,Fury Swipes,Normal,18,80,15,Nidorina
703,Toxic,Poison,0,85,10,Nidorina
704,Horn Drill,Normal,0,30,5,Nidorina
705,Body Slam,Normal,85,100,15,Nidorina
706,Take Down,Normal,90,85,20,Nidorina
707,Double-Edge,Normal,100,100,15,Nidorina
708,BubbleBeam,Water,65,100,20,Nidorina
709,Water Gun,Water,40,100,25,Nidorina
710,Ice Beam,Ice,95,100,10,Nidorina
711,Blizzard,Ice,120,90,5,Nidorina
712,Rage,Normal,20,100,20,Nidorina
713,Thunderbolt,Electric,95,100,15,Nidorina
714,Thunder,Electric,120,70,10,Nidorina
715,Mimic,Normal,0,100,10,Nidorina
716,Double Team,Normal,0,0,15,Nidorina
717,Reflect,Psychic,0,0,20,Nidorina
718,Bide,Normal,0,0,10,Nidorina
719,Skull Bash,Normal,100,100,15,Nidorina
720,Rest,Psychic,0,0,10,Nidorina
721,Substitute,Normal,0,0,10,Nidorina
722,Tackle,Normal,35,95,35,Nidoqueen
723,Scratch,Normal,40,100,35,Nidoqueen
724,Tail Whip,Normal,0,100,30,Nidoqueen
725,Body Slam,Normal,85,100,15,Nidoqueen
726,Scratch,Normal,40,100,35,Nidoqueen
727,Double Kick,Fighting,30,100,30,Nidoqueen
728,Body Slam,Normal,85,100,15,Nidoqueen
729,Poison Sting,Poison,15,100,35,Nidoqueen
730,Mega Punch,Normal,80,85,20,Nidoqueen
731,Mega Kick,Normal,120,75,5,Nidoqueen
732,Toxic,Poison,0,85,10,Nidoqueen
733,Horn Drill,Normal,0,30,5,Nidoqueen
734,Body Slam,Normal,85,100,15,Nidoqueen
735,Take Down,Normal,90,85,20,Nidoqueen
736,Double-Edge,Normal,100,100,15,Nidoqueen
737,BubbleBeam,Water,65,100,20,Nidoqueen
738,Water Gun,Water,40,100,25,Nidoqueen
739,Ice Beam,Ice,95,100,10,Nidoqueen
740,Blizzard,Ice,120,90,5,Nidoqueen
741,Hyper Beam,Normal,150,90,5,Nidoqueen
742,Pay Day,Normal,40,100,20,Nidoqueen
743,Submission,Fighting,80,80,25,Nidoqueen
744,Counter,Fighting,0,100,20,Nidoqueen
745,Seismic Toss,Fighting,0,100,20,Nidoqueen
746,Rage,Normal,20,100,20,Nidoqueen
747,Thunderbolt,Electric,95,100,15,Nidoqueen
748,Thunder,Electric,120,70,10,Nidoqueen
749,Earthquake,Ground,100,100,10,Nidoqueen
750,Fissure,Ground,0,30,5,Nidoqueen
751,Mimic,Normal,0,100,10,Nidoqueen
752,Double Team,Normal,0,0,15,Nidoqueen
753,Reflect,Psychic,0,0,20,Nidoqueen
754,Bide,Normal,0,0,10,Nidoqueen
755,Fire Blast,Fire,120,85,5,Nidoqueen
756,Skull Bash,Normal,100,100,15,Nidoqueen
757,Rest,Psychic,0,0,10,Nidoqueen
758,Rock Slide,Rock,75,90,10,Nidoqueen
759,Substitute,Normal,0,0,10,Nidoqueen
760,Surf,Water,95,100,15,Nidoqueen
761,Strength,Normal,80,100,15,Nidoqueen
762,Leer,Normal,0,100,30,Nidoran♂
763,Tackle,Normal,35,95,35,Nidoran♂
764,Horn Attack,Normal,65,100,25,Nidoran♂
765,Double Kick,Fighting,30,100,30,Nidoran♂
766,Poison Sting,Poison,15,100,35,Nidoran♂
767,Focus Energy,Normal,0,101,30,Nidoran♂
768,Fury Attack,Normal,15,85,20,Nidoran♂
769,Horn Drill,Normal,0,30,5,Nidoran♂
770,Toxic,Poison,0,85,10,Nidoran♂
771,Horn Drill,Normal,0,30,5,Nidoran♂
772,Body Slam,Normal,85,100,15,Nidoran♂
773,Take Down,Normal,90,85,20,Nidoran♂
774,Double-Edge,Normal,100,100,15,Nidoran♂
775,Blizzard,Ice,120,90,5,Nidoran♂
776,Rage,Normal,20,100,20,Nidoran♂
777,Thunderbolt,Electric,95,100,15,Nidoran♂
778,Thunder,Electric,120,70,10,Nidoran♂
779,Mimic,Normal,0,100,10,Nidoran♂
780,Double Team,Normal,0,0,15,Nidoran♂
781,Reflect,Psychic,0,0,20,Nidoran♂
782,Bide,Normal,0,0,10,Nidoran♂
783,Skull Bash,Normal,100,100,15,Nidoran♂
784,Rest,Psychic,0,0,10,Nidoran♂
785,Substitute,Normal,0,0,10,Nidoran♂
786,Leer,Normal,0,100,30,Nidorino
787,Tackle,Normal,35,95,35,Nidorino
788,Horn Attack,Normal,65,100,25,Nidorino
789,Horn Attack,Normal,65,100,25,Nidorino
790,Double Kick,Fighting,30,100,30,Nidorino
791,Poison Sting,Poison,15,100,35,Nidorino
792,Focus Energy,Normal,0,101,30,Nidorino
793,Fury Attack,Normal,15,85,20,Nidorino
794,Horn Drill,Normal,0,30,5,Nidorino
795,Toxic,Poison,0,85,10,Nidorino
796,Horn Drill,Normal,0,30,5,Nidorino
797,Body Slam,Normal,85,100,15,Nidorino
798,Take Down,Normal,90,85,20,Nidorino
799,Double-Edge,Normal,100,100,15,Nidorino
800,BubbleBeam,Water,65,100,20,Nidorino
801,Water Gun,Water,40,100,25,Nidorino
802,Ice Beam,Ice,95,100,10,Nidorino
803,Blizzard,Ice,120,90,5,Nidorino
804,Rage,Normal,20,100,20,Nidorino
805,Thunderbolt,Electric,95,100,15,Nidorino
806,Thunder,Electric,120,70,10,Nidorino
807,Mimic,Normal,0,100,10,Nidorino
808,Double Team,Normal,0,0,15,Nidorino
809,Reflect,Psychic,0,0,20,Nidorino
810,Bide,Normal,0,0,10,Nidorino
811,Skull Bash,Normal,100,100,15,Nidorino
812,Rest,Psychic,0,0,10,Nidorino
813,Substitute,Normal,0,0,10,Nidorino
814,Tackle,Normal,35,95,35,Nidoking
815,Horn Attack,Normal,65,100,25,Nidoking
816,Poison Sting,Poison,15,100,35,Nidoking
817,Thrash,Normal,90,100,20,Nidoking
818,Horn Attack,Normal,65,100,25,Nidoking
819,Double Kick,Fighting,30,100,30,Nidoking
820,Poison Sting,Poison,15,100,35,Nidoking
821,Thrash,Normal,90,100,20,Nidoking
822,Mega Punch,Normal,80,85,20,Nidoking
823,Mega Kick,Normal,120,75,5,Nidoking
824,Toxic,Poison,0,85,10,Nidoking
825,Horn Drill,Normal,0,30,5,Nidoking
826,Body Slam,Normal,85,100,15,Nidoking
827,Take Down,Normal,90,85,20,Nidoking
828,Double-Edge,Normal,100,100,15,Nidoking
829,BubbleBeam,Water,65,100,20,Nidoking
830,Water Gun,Water,40,100,25,Nidoking
831,Ice Beam,Ice,95,100,10,Nidoking
832,Blizzard,Ice,120,90,5,Nidoking
833,Hyper Beam,Normal,150,90,5,Nidoking
834,Pay Day,Normal,40,100,20,Nidoking
835,Submission,Fighting,80,80,25,Nidoking
836,Counter,Fighting,0,100,20,Nidoking
837,Seismic Toss,Fighting,0,100,20,Nidoking
838,Rage,Normal,20,100,20,Nidoking
839,Thunderbolt,Electric,95,100,15,Nidoking
840,Thunder,Electric,120,70,10,Nidoking
841,Earthquake,Ground,100,100,10,Nidoking
842,Fissure,Ground,0,30,5,Nidoking
843,Mimic,Normal,0,100,10,Nidoking
844,Double Team,Normal,0,0,15,Nidoking
845,Reflect,Psychic,0,0,20,Nidoking
846,Bide,Normal,0,0,10,Nidoking
847,Fire Blast,Fire,120,85,5,Nidoking
848,Skull Bash,Normal,100,100,15,Nidoking
849,Rest,Psychic,0,0,10,Nidoking
850,Rock Slide,Rock,75,90,10,Nidoking
851,Substitute,Normal,0,0,10,Nidoking
852,Surf,Water,95,100,15,Nidoking
853,Strength,Normal,80,100,15,Nidoking
854,Pound,Normal,40,100,35,Clefairy
855,Growl,Normal,0,100,40,Clefairy
856,Sing,Normal,0,55,15,Clefairy
857,DoubleSlap,Normal,15,85,10,Clefairy
858,Minimize,Normal,0,0,20,Clefairy
859,Metronome,Normal,0,0,10,Clefairy
860,Defense Curl,Normal,0,0,40,Clefairy
861,Light Screen,Psychic,0,0,30,Clefairy
862,Mega Punch,Normal,80,85,20,Clefairy
863,Mega Kick,Normal,120,75,5,Clefairy
864,Toxic,Poison,0,85,10,Clefairy
865,Body Slam,Normal,85,100,15,Clefairy
866,Take Down,Normal,90,85,20,Clefairy
867,Double-Edge,Normal,100,100,15,Clefairy
868,BubbleBeam,Water,65,100,20,Clefairy
869,Water Gun,Water,40,100,25,Clefairy
870,Ice Beam,Ice,95,100,10,Clefairy
871,Blizzard,Ice,120,90,5,Clefairy
872,Submission,Fighting,80,80,25,Clefairy
873,Counter,Fighting,0,100,20,Clefairy
874,Seismic Toss,Fighting,0,100,20,Clefairy
875,Rage,Normal,20,100,20,Clefairy
876,SolarBeam,Grass,120,100,10,Clefairy
877,Thunderbolt,Electric,95,100,15,Clefairy
878,Thunder,Electric,120,70,10,Clefairy
879,Psychic,Psychic,90,100,10,Clefairy
880,Teleport,Psychic,0,0,20,Clefairy
881,Mimic,Normal,0,100,10,Clefairy
882,Double Team,Normal,0,0,15,Clefairy
883,Reflect,Psychic,0,0,20,Clefairy
884,Bide,Normal,0,0,10,Clefairy
885,Metronome,Normal,0,0,10,Clefairy
886,Fire Blast,Fire,120,85,5,Clefairy
887,Skull Bash,Normal,100,100,15,Clefairy
888,Rest,Psychic,0,0,10,Clefairy
889,Thunder Wave,Electric,0,100,20,Clefairy
890,Psywave,Psychic,0,80,15,Clefairy
891,Tri Attack,Normal,80,100,10,Clefairy
892,Substitute,Normal,0,0,10,Clefairy
893,Strength,Normal,80,100,15,Clefairy
894,Flash,Normal,0,70,20,Clefairy
895,Sing,Normal,0,55,15,Clefable
896,DoubleSlap,Normal,15,85,10,Clefable
897,Minimize,Normal,0,0,20,Clefable
898,Metronome,Normal,0,0,10,Clefable
899,Mega Punch,Normal,80,85,20,Clefable
900,Mega Kick,Normal,120,75,5,Clefable
901,Toxic,Poison,0,85,10,Clefable
902,Body Slam,Normal,85,100,15,Clefable
903,Take Down,Normal,90,85,20,Clefable
904,Double-Edge,Normal,100,100,15,Clefable
905,BubbleBeam,Water,65,100,20,Clefable
906,Water Gun,Water,40,100,25,Clefable
907,Ice Beam,Ice,95,100,10,Clefable
908,Blizzard,Ice,120,90,5,Clefable
909,Hyper Beam,Normal,150,90,5,Clefable
910,Submission,Fighting,80,80,25,Clefable
911,Counter,Fighting,0,100,20,Clefable
912,Seismic Toss,Fighting,0,100,20,Clefable
913,Rage,Normal,20,100,20,Clefable
914,SolarBeam,Grass,120,100,10,Clefable
915,Thunderbolt,Electric,95,100,15,Clefable
916,Thunder,Electric,120,70,10,Clefable
917,Psychic,Psychic,90,100,10,Clefable
918,Teleport,Psychic,0,0,20,Clefable
919,Mimic,Normal,0,100,10,Clefable
920,Double Team,Normal,0,0,15,Clefable
921,Reflect,Psychic,0,0,20,Clefable
922,Bide,Normal,0,0,10,Clefable
923,Metronome,Normal,0,0,10,Clefable
924,Fire Blast,Fire,120,85,5,Clefable
925,Skull Bash,Normal,100,100,15,Clefable
926,Rest,Psychic,0,0,10,Clefable
927,Thunder Wave,Electric,0,100,20,Clefable
928,Psywave,Psychic,0,80,15,Clefable
929,Tri Attack,Normal,80,100,10,Clefable
930,Substitute,Normal,0,0,10,Clefable
931,Strength,Normal,80,100,15,Clefable
932,Flash,Normal,0,70,20,Clefable
933,Ember,Fire,40,100,25,Vulpix
934,Tail Whip,Normal,0,100,30,Vulpix
935,Quick Attack,Normal,40,100,30,Vulpix
936,Roar,Normal,0,100,20,Vulpix
937,Confuse Ray,Ghost,0,100,10,Vulpix
938,Flamethrower,Fire,95,100,15,Vulpix
939,Fire Spin,Fire,15,70,15,Vulpix
940,Toxic,Poison,0,85,10,Vulpix
941,Body Slam,Normal,85,100,15,Vulpix
942,Take Down,Normal,90,85,20,Vulpix
943,Double-Edge,Normal,100,100,15,Vulpix
944,Rage,Normal,20,100,20,Vulpix
945,Dig,Ground,100,100,10,Vulpix
946,Mimic,Normal,0,100,10,Vulpix
947,Double Team,Normal,0,0,15,Vulpix
948,Reflect,Psychic,0,0,20,Vulpix
949,Bide,Normal,0,0,10,Vulpix
950,Fire Blast,Fire,120,85,5,Vulpix
951,Swift,Normal,60,0,20,Vulpix
952,Skull Bash,Normal,100,100,15,Vulpix
953,Rest,Psychic,0,0,10,Vulpix
954,Substitute,Normal,0,0,10,Vulpix
955,Ember,Fire,40,100,25,Ninetales
956,Tail Whip,Normal,0,100,30,Ninetales
957,Quick Attack,Normal,40,100,30,Ninetales
958,Roar,Normal,0,100,20,Ninetales
959,Toxic,Poison,0,85,10,Ninetales
960,Body Slam,Normal,85,100,15,Ninetales
961,Take Down,Normal,90,85,20,Ninetales
962,Double-Edge,Normal,100,100,15,Ninetales
963,Hyper Beam,Normal,150,90,5,Ninetales
964,Rage,Normal,20,100,20,Ninetales
965,Dig,Ground,100,100,10,Ninetales
966,Mimic,Normal,0,100,10,Ninetales
967,Double Team,Normal,0,0,15,Ninetales
968,Reflect,Psychic,0,0,20,Ninetales
969,Bide,Normal,0,0,10,Ninetales
970,Fire Blast,Fire,120,85,5,Ninetales
971,Swift,Normal,60,0,20,Ninetales
972,Skull Bash,Normal,100,100,15,Ninetales
973,Rest,Psychic,0,0,10,Ninetales
974,Substitute,Normal,0,0,10,Ninetales
975,Sing,Normal,0,55,15,Jigglypuff
976,Pound,Normal,40,100,35,Jigglypuff
977,Disable,Normal,0,55,20,Jigglypuff
978,Defense Curl,Normal,0,0,40,Jigglypuff
979,DoubleSlap,Normal,15,85,10,Jigglypuff
980,Rest,Psychic,0,0,10,Jigglypuff
981,Body Slam,Normal,85,100,15,Jigglypuff
982,Double-Edge,Normal,100,100,15,Jigglypuff
983,Mega Punch,Normal,80,85,20,Jigglypuff
984,Mega Kick,Normal,120,75,5,Jigglypuff
985,Toxic,Poison,0,85,10,Jigglypuff
986,Body Slam,Normal,85,100,15,Jigglypuff
987,Take Down,Normal,90,85,20,Jigglypuff
988,Double-Edge,Normal,100,100,15,Jigglypuff
989,BubbleBeam,Water,65,100,20,Jigglypuff
990,Water Gun,Water,40,100,25,Jigglypuff
991,Ice Beam,Ice,95,100,10,Jigglypuff
992,Blizzard,Ice,120,90,5,Jigglypuff
993,Submission,Fighting,80,80,25,Jigglypuff
994,Counter,Fighting,0,100,20,Jigglypuff
995,Seismic Toss,Fighting,0,100,20,Jigglypuff
996,Rage,Normal,20,100,20,Jigglypuff
997,SolarBeam,Grass,120,100,10,Jigglypuff
998,Thunderbolt,Electric,95,100,15,Jigglypuff
999,Thunder,Electric,120,70,10,Jigglypuff
1000,Psychic,Psychic,90,100,10,Jigglypuff
1001,Teleport,Psychic,0,0,20,Jigglypuff
1002,Mimic,Normal,0,100,10,Jigglypuff
1003,Double Team,Normal,0,0,15,Jigglypuff
1004,Reflect,Psychic,0,0,20,Jigglypuff
1005,Bide,Normal,0,0,10,Jigglypuff
1006,Fire Blast,Fire,120,85,5,Jigglypuff
1007,Skull Bash,Normal,100,100,15,Jigglypuff
1008,Rest,Psychic,0,0,10,Jigglypuff
1009,Thunder Wave,Electric,0,100,20,Jigglypuff
1010,Psywave,Psychic,0,80,15,Jigglypuff
1011,Tri Attack,Normal,80,100,10,Jigglypuff
1012,Substitute,Normal,0,0,10,Jigglypuff
1013,Strength,Normal,80,100,15,Jigglypuff
1014,Flash,Normal,0,70,20,Jigglypuff
1015,Sing,Normal,0,55,15,Wigglytuff
1016,Disable,Normal,0,55,20,Wigglytuff
1017,Defense Curl,Normal,0,0,40,Wigglytuff
1018,DoubleSlap,Normal,15,85,10,Wigglytuff
1019,Mega Punch,Normal,80,85,20,Wigglytuff
1020,Mega Kick,Normal,120,75,5,Wigglytuff
1021,Toxic,Poison,0,85,10,Wigglytuff
1022,Body Slam,Normal,85,100,15,Wigglytuff
1023,Take Down,Normal,90,85,20,Wigglytuff
1024,Double-Edge,Normal,100,100,15,Wigglytuff
1025,BubbleBeam,Water,65,100,20,Wigglytuff
1026,Water Gun,Water,40,100,25,Wigglytuff
1027,Ice Beam,Ice,95,100,10,Wigglytuff
1028,Blizzard,Ice,120,90,5,Wigglytuff
1029,Hyper Beam,Normal,150,90,5,Wigglytuff
1030,Submission,Fighting,80,80,25,Wigglytuff
1031,Counter,Fighting,0,100,20,Wigglytuff
1032,Seismic Toss,Fighting,0,100,20,Wigglytuff
1033,Rage,Normal,20,100,20,Wigglytuff
1034,SolarBeam,Grass,120,100,10,Wigglytuff
1035,Thunderbolt,Electric,95,100,15,Wigglytuff
1036,Thunder,Electric,120,70,10,Wigglytuff
1037,Psychic,Psychic,90,100,10,Wigglytuff
1038,Teleport,Psychic,0,0,20,Wigglytuff
1039,Mimic,Normal,0,100,10,Wigglytuff
1040,Double Team,Normal,0,0,15,Wigglytuff
1041,Reflect,Psychic,0,0,20,Wigglytuff
1042,Bide,Normal,0,0,10,Wigglytuff
1043,Fire Blast,Fire,120,85,5,Wigglytuff
1044,Skull Bash,Normal,100,100,15,Wigglytuff
1045,Rest,Psychic,0,0,10,Wigglytuff
1046,Thunder Wave,Electric,0,100,20,Wigglytuff
1047,Psywave,Psychic,0,80,15,Wigglytuff
1048,Tri Attack,Normal,80,100,10,Wigglytuff
1049,Substitute,Normal,0,0,10,Wigglytuff
1050,Strength,Normal,80,100,15,Wigglytuff
1051,Flash,Normal,0,70,20,Wigglytuff
1052,Leech Life,Bug,20,100,15,Zubat
1053,Supersonic,Normal,0,55,20,Zubat
1054,Bite,Normal,60,100,25,Zubat
1055,Confuse Ray,Ghost,0,100,10,Zubat
1056,Wing Attack,Flying,35,100,35,Zubat
1057,Haze,Ice,0,0,30,Zubat
1058,Razor Wind,Normal,80,75,10,Zubat
1059,Whirlwind,Normal,0,85,20,Zubat
1060,Toxic,Poison,0,85,10,Zubat
1061,Take Down,Normal,90,85,20,Zubat
1062,Double-Edge,Normal,100,100,15,Zubat
1063,Rage,Normal,20,100,20,Zubat
1064,Mega Drain,Grass,40,100,10,Zubat
1065,Mimic,Normal,0,100,10,Zubat
1066,Double Team,Normal,0,0,15,Zubat
1067,Bide,Normal,0,0,10,Zubat
1068,Swift,Normal,60,0,20,Zubat
1069,Rest,Psychic,0,0,10,Zubat
1070,Substitute,Normal,0,0,10,Zubat
1071,Leech Life,Bug,20,100,15,Golbat
1072,Screech,Normal,0,85,40,Golbat
1073,Bite,Normal,60,100,25,Golbat
1074,Supersonic,Normal,0,55,20,Golbat
1075,Bite,Normal,60,100,25,Golbat
1076,Confuse Ray,Ghost,0,100,10,Golbat
1077,Wing Attack,Flying,35,100,35,Golbat
1078,Haze,Ice,0,0,30,Golbat
1079,Razor Wind,Normal,80,75,10,Golbat
1080,Whirlwind,Normal,0,85,20,Golbat
1081,Toxic,Poison,0,85,10,Golbat
1082,Take Down,Normal,90,85,20,Golbat
1083,Double-Edge,Normal,100,100,15,Golbat
1084,Hyper Beam,Normal,150,90,5,Golbat
1085,Rage,Normal,20,100,20,Golbat
1086,Mega Drain,Grass,40,100,10,Golbat
1087,Mimic,Normal,0,100,10,Golbat
1088,Double Team,Normal,0,0,15,Golbat
1089,Bide,Normal,0,0,10,Golbat
1090,Swift,Normal,60,0,20,Golbat
1091,Rest,Psychic,0,0,10,Golbat
1092,Substitute,Normal,0,0,10,Golbat
1093,Absorb,Grass,20,100,20,Oddish
1094,PoisonPowder,Poison,0,75,35,Oddish
1095,Stun Spore,Grass,0,75,30,Oddish
1096,Sleep Powder,Grass,0,75,15,Oddish
1097,Acid,Poison,40,100,30,Oddish
1098,Petal Dance,Grass,70,100,20,Oddish
1099,SolarBeam,Grass,120,100,10,Oddish
1100,Swords Dance,Normal,0,0,30,Oddish
1101,Toxic,Poison,0,85,10,Oddish
1102,Take Down,Normal,90,85,20,Oddish
1103,Double-Edge,Normal,100,100,15,Oddish
1104,Rage,Normal,20,100,20,Oddish
1105,Mega Drain,Grass,40,100,10,Oddish
1106,SolarBeam,Grass,120,100,10,Oddish
1107,Mimic,Normal,0,100,10,Oddish
1108,Double Team,Normal,0,0,15,Oddish
1109,Reflect,Psychic,0,0,20,Oddish
1110,Bide,Normal,0,0,10,Oddish
1111,Rest,Psychic,0,0,10,Oddish
1112,Substitute,Normal,0,0,10,Oddish
1113,Cut,Normal,50,95,30,Oddish
1114,Absorb,Grass,20,100,20,Gloom
1115,PoisonPowder,Poison,0,75,35,Gloom
1116,Stun Spore,Grass,0,75,30,Gloom
1117,PoisonPowder,Poison,0,75,35,Gloom
1118,Stun Spore,Grass,0,75,30,Gloom
1119,Sleep Powder,Grass,0,75,15,Gloom
1120,Acid,Poison,40,100,30,Gloom
1121,Petal Dance,Grass,70,100,20,Gloom
1122,SolarBeam,Grass,120,100,10,Gloom
1123,Swords Dance,Normal,0,0,30,Gloom
1124,Toxic,Poison,0,85,10,Gloom
1125,Take Down,Normal,90,85,20,Gloom
1126,Double-Edge,Normal,100,100,15,Gloom
1127,Rage,Normal,20,100,20,Gloom
1128,Mega Drain,Grass,40,100,10,Gloom
1129,SolarBeam,Grass,120,100,10,Gloom
1130,Mimic,Normal,0,100,10,Gloom
1131,Double Team,Normal,0,0,15,Gloom
1132,Reflect,Psychic,0,0,20,Gloom
1133,Bide,Normal,0,0,10,Gloom
1134,Rest,Psychic,0,0,10,Gloom
1135,Substitute,Normal,0,0,10,Gloom
1136,Cut,Normal,50,95,30,Gloom
1137,Stun Spore,Grass,0,75,30,Vileplume
1138,Sleep Powder,Grass,0,75,15,Vileplume
1139,Acid,Poison,40,100,30,Vileplume
1140,Petal Dance,Grass,70,100,20,Vileplume
1141,PoisonPowder,Poison,0,75,35,Vileplume
1142,Stun Spore,Grass,0,75,30,Vileplume
1143,Sleep Powder,Grass,0,75,15,Vileplume
1144,Swords Dance,Normal,0,0,30,Vileplume
1145,Toxic,Poison,0,85,10,Vileplume
1146,Body Slam,Normal,85,100,15,Vileplume
1147,Take Down,Normal,90,85,20,Vileplume
1148,Double-Edge,Normal,100,100,15,Vileplume
1149,Hyper Beam,Normal,150,90,5,Vileplume
1150,Rage,Normal,20,100,20,Vileplume
1151,Mega Drain,Grass,40,100,10,Vileplume
1152,SolarBeam,Grass,120,100,10,Vileplume
1153,Mimic,Normal,0,100,10,Vileplume
1154,Double Team,Normal,0,0,15,Vileplume
1155,Reflect,Psychic,0,0,20,Vileplume
1156,Bide,Normal,0,0,10,Vileplume
1157,Rest,Psychic,0,0,10,Vileplume
1158,Substitute,Normal,0,0,10,Vileplume
1159,Cut,Normal,50,95,30,Vileplume
1160,Scratch,Normal,40,100,35,Paras
1161,Stun Spore,Grass,0,75,30,Paras
1162,Leech Life,Bug,20,100,15,Paras
